Image Index,Processing Time (s)
0,3.383389949798584
1,3.2496230602264404
2,3.277620315551758
3,3.5066261291503906
4,3.518425941467285
5,3.481942892074585
6,3.355792284011841
7,3.243926525115967
8,3.1829185485839844
9,3.6016321182250977
10,3.312357187271118
